------------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          delta          #fval     #grad     tr_flag   iterCG    flagCG    
  100   8.330422e-19   7.022928e-17   2.396414e-04   1.000000e+03   101       101       0         20        1         
Optimization Terminated with Status: Iteration Limit Exceeded
========================================================================================================================================================================

                                                                 TimeMonitor results over 22 processors

Timer Name                                                                   MinOverProcs          MeanOverProcs         MaxOverProcs          MeanOverCallCounts       
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Belos: BiCGStabSolMgr total solve time                                       3322 (1.62e+06)       3350 (1.62e+06)       3359 (1.62e+06)       0.002067 (1.62e+06)      
Belos: Operation Op*x                                                        871.8 (2.992e+07)     902.3 (2.992e+07)     1133 (2.992e+07)      3.015e-05 (2.992e+07)    
Belos: Operation Prec*x                                                      1049 (2.83e+07)       1274 (2.83e+07)       1420 (2.83e+07)       4.502e-05 (2.83e+07)     
Ifpack2::Relaxation::apply                                                   1016 (2.83e+07)       1236 (2.83e+07)       1382 (2.83e+07)       4.367e-05 (2.83e+07)     
Ifpack2::Relaxation::compute                                                 0.2845 (8102)         0.321 (8102)          0.3516 (8102)         3.962e-05 (8102)         
Ifpack2::Relaxation::initialize                                              0.01981 (8102)        0.02136 (8102)        0.02238 (8102)        2.636e-06 (8102)         
MrHyDE::AnalysisManager - constructor                                        3.043e-06 (1)         3.923e-06 (1)         5.228e-06 (1)         3.923e-06 (1)            
MrHyDE::AnalysisManager::ROL2Solve()                                         7255 (1)              7255 (1)              7255 (1)              7255 (1)                 
MrHyDE::AnalysisManager::ROLSolve()                                          0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::AssemblyManager - constructor                                        0.02649 (1)           0.03123 (1)           0.03295 (1)           0.03123 (1)              
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
MrHyDE::AssemblyManager::computeJac() - Jacobian assembly                    0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::AssemblyManager::computeJacRes() - boundary evaluation               0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::AssemblyManager::computeJacRes() - fill complete                     0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::AssemblyManager::computeJacRes() - multiscale projection             0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::AssemblyManager::computeJacRes() - physics evaluation                311.9 (7.952e+06)     336.5 (7.937e+06)     353.1 (7.935e+06)     4.24e-05 (7.937e+06)     
MrHyDE::AssemblyManager::computeJacRes() - total assembly                    60.45 (1.467e+05)     63.56 (1.467e+05)     64.27 (1.467e+05)     0.0004332 (1.467e+05)    
MrHyDE::AssemblyManager::computeRes() - residual assembly                    503.5 (7.202e+06)     541.7 (7.202e+06)     569.2 (7.202e+06)     7.522e-05 (7.202e+06)    
MrHyDE::AssemblyManager::createGroups()                                      0.004184 (1)          0.004949 (1)          0.00714 (1)           0.004949 (1)             
MrHyDE::AssemblyManager::createWorkset()                                     0.0001687 (1)         0.0002037 (1)         0.0002713 (1)         0.0002037 (1)            
MrHyDE::AssemblyManager::dataBase - assignment                               0 (0)                 0 (0)                 0 (0)                 0 (0)                    
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
MrHyDE::AssemblyManager::dataBase - basis                                    0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::AssemblyManager::dofConstraints()                                    0.246 (1.467e+05)     0.2769 (1.467e+05)    0.503 (1.467e+05)     1.887e-06 (1.467e+05)    
MrHyDE::AssemblyManager::gather()                                            18.25 (7.349e+06)     20.14 (7.349e+06)     21.45 (7.349e+06)     2.741e-06 (7.349e+06)    
MrHyDE::AssemblyManager::scatter()                                           42.18 (3.756e+07)     43.57 (3.682e+07)     45.01 (3.674e+07)     1.183e-06 (3.682e+07)    
MrHyDE::AssemblyManager::setDirichlet()                                      0.0005463 (1)         0.0005671 (1)         0.0005861 (1)         0.0005671 (1)            
MrHyDE::AssemblyManager::setInitial()                                        0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::DiscretizationInterface - constructor                                0.0258 (1)            0.02799 (1)           0.02825 (1)           0.02799 (1)              
MrHyDE::DiscretizationInterface::buildDOFManagers()                          0.02469 (1)           0.02657 (1)           0.0268 (1)            0.02657 (1)              
MrHyDE::DiscretizationInterface::copyDataFromDatabase() - allocate memory    0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::DiscretizationInterface::copyDataFromDatabase() - apply orient       0 (0)                 0 (0)                 0 (0)                 0 (0)                    
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
MrHyDE::DiscretizationInterface::copyDataFromDatabase() - copy               0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::DiscretizationInterface::copyDataFromDatabase() - total              0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::DiscretizationInterface::evaluateBasisNewQuadrature()                0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::DiscretizationInterface::getMyNodes()                                0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::DiscretizationInterface::getPhysicalBoundaryData - basis             0.0009738 (36)        0.001135 (36.09)      0.001789 (36)         3.146e-05 (36.09)        
MrHyDE::DiscretizationInterface::getPhysicalBoundaryData - hsize             0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::DiscretizationInterface::getPhysicalBoundaryData - ip                0.0003887 (36)        0.0004598 (36.09)     0.0006443 (36)        1.274e-05 (36.09)        
MrHyDE::DiscretizationInterface::getPhysicalBoundaryData - other Jac         0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::DiscretizationInterface::getPhysicalBoundaryData - set Jac           0.0002771 (36)        0.0003424 (36.09)     0.000503 (36)         9.487e-06 (36.09)        
MrHyDE::DiscretizationInterface::getPhysicalBoundaryData - total             0.002694 (72)         0.003154 (72.18)      0.004744 (72)         4.37e-05 (72.18)         
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
MrHyDE::DiscretizationInterface::getPhysicalBoundaryData - wts               0.0004351 (36)        0.0005265 (36.09)     0.0007881 (36)        1.459e-05 (36.09)        
MrHyDE::DiscretizationInterface::getPhysicalFaceData - basis                 0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::DiscretizationInterface::getPhysicalFaceData - hsize                 0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::DiscretizationInterface::getPhysicalFaceData - ip                    0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::DiscretizationInterface::getPhysicalFaceData - other Jac             0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::DiscretizationInterface::getPhysicalFaceData - set Jac               0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::DiscretizationInterface::getPhysicalFaceData - total                 0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::DiscretizationInterface::getPhysicalFaceData - wts                   0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::DiscretizationInterface::getPhysicalIntegrationData()                0.0004245 (18)        0.0004934 (18)        0.0007383 (18)        2.741e-05 (18)           
MrHyDE::DiscretizationInterface::getPhysicalOrientations                     3.428e-05 (45)        4.211e-05 (45.09)     6.394e-05 (45)        9.339e-07 (45.09)        
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
MrHyDE::DiscretizationInterface::getPhysicalVolumetricData - HCURL-CURL      0.0004113 (9)         0.000499 (9)          0.0007397 (9)         5.545e-05 (9)            
MrHyDE::DiscretizationInterface::getPhysicalVolumetricData - HCURL-VALUE     0.001173 (9)          0.001382 (9)          0.002117 (9)          0.0001536 (9)            
MrHyDE::DiscretizationInterface::getPhysicalVolumetricData - HDIV-DIV        0.0001197 (9)         0.0001362 (9)         0.0001981 (9)         1.513e-05 (9)            
MrHyDE::DiscretizationInterface::getPhysicalVolumetricData - HDIV-VALUE      0.0008174 (9)         0.0009857 (9)         0.001599 (9)          0.0001095 (9)            
MrHyDE::DiscretizationInterface::getPhysicalVolumetricData - basis           0.002643 (9)          0.003073 (9)          0.004652 (9)          0.0003415 (9)            
MrHyDE::DiscretizationInterface::getPhysicalVolumetricData - hsize           0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::DiscretizationInterface::getPhysicalVolumetricData - ip              0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::DiscretizationInterface::getPhysicalVolumetricData - other Jac       5.751e-05 (9)         6.42e-05 (9)          8.792e-05 (9)         7.133e-06 (9)            
MrHyDE::DiscretizationInterface::getPhysicalVolumetricData - set Jac         0.0001062 (9)         0.0001235 (9)         0.0002016 (9)         1.373e-05 (9)            
MrHyDE::DiscretizationInterface::getPhysicalVolumetricData - total           0.002849 (9)          0.003304 (9)          0.005 (9)             0.0003671 (9)            
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
MrHyDE::DiscretizationInterface::getPhysicalVolumetricData - wts             0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::DiscretizationInterface::setBCData()                                 0.00193 (1)           0.002178 (1)          0.00228 (1)           0.002178 (1)             
MrHyDE::DiscretizationInterface::setDirichletData()                          0.000576 (1)          0.0007129 (1)         0.001058 (1)          0.0007129 (1)            
MrHyDE::LinearAlgebraInterface - constructor                                 0.00782 (1)           0.01155 (1)           0.01242 (1)           0.01155 (1)              
MrHyDE::LinearAlgebraInterface::PCG - total                                  0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::LinearAlgebraInterface::buildPreconditioner()                        0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::LinearAlgebraInterface::export*()                                    267.2 (9.839e+06)     336.8 (9.839e+06)     487.7 (9.839e+06)     3.423e-05 (9.839e+06)    
MrHyDE::LinearAlgebraInterface::fillComplete*()                              24.32 (4.481e+04)     29.3 (4.481e+04)      33.84 (4.481e+04)     0.0006539 (4.481e+04)    
MrHyDE::LinearAlgebraInterface::getNew*Matrix()                              2.192 (3.277e+06)     2.348 (3.277e+06)     2.469 (3.277e+06)     7.165e-07 (3.277e+06)    
MrHyDE::LinearAlgebraInterface::getNewOverlappedVector()                     34.91 (1.148e+07)     38.13 (1.148e+07)     39.34 (1.148e+07)     3.321e-06 (1.148e+07)    
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
MrHyDE::LinearAlgebraInterface::getNewVector()                               47.07 (1.636e+07)     53.61 (1.636e+07)     55.56 (1.636e+07)     3.276e-06 (1.636e+07)    
MrHyDE::LinearAlgebraInterface::import*()                                    44.71 (1.62e+06)      55.26 (1.62e+06)      86.72 (1.62e+06)      3.41e-05 (1.62e+06)      
MrHyDE::LinearAlgebraInterface::linearSolver*()                              3572 (1.62e+06)       3577 (1.62e+06)       3580 (1.62e+06)       0.002207 (1.62e+06)      
MrHyDE::LinearAlgebraInterface::read()                                       0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::LinearAlgebraInterface::setup                                        0.007573 (1)          0.01137 (1)           0.01224 (1)           0.01137 (1)              
MrHyDE::LinearAlgebraInterface::write()                                      0.7927 (1.62e+06)     0.9822 (1.62e+06)     1.067 (1.62e+06)      6.061e-07 (1.62e+06)     
MrHyDE::MultiscaleManager - constructor                                      0.0002354 (1)         0.002112 (1)          0.006934 (1)          0.002112 (1)             
MrHyDE::MultiscaleManager::initialize()                                      0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::MultiscaleManager::reset()                                           0.4964 (1.62e+06)     0.5761 (1.62e+06)     0.7055 (1.62e+06)     3.555e-07 (1.62e+06)     
MrHyDE::MultiscaleManager::update()                                          0.3143 (8.002e+05)    0.3689 (8.002e+05)    0.4348 (8.002e+05)    4.61e-07 (8.002e+05)     
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
MrHyDE::Objective::gradient()                                                7165 (4101)           7165 (4101)           7165 (4101)           1.747 (4101)             
MrHyDE::Objective::hessVec()                                                 0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::Objective::value()                                                   70.11 (101)           70.12 (101)           70.13 (101)           0.6943 (101)             
MrHyDE::OptVector::clone()                                                   4.326 (4116)          4.891 (4116)          5.516 (4116)          0.001188 (4116)          
MrHyDE::OptVector::constructor()                                             4.905 (1.222e+04)     5.434 (1.222e+04)     6.018 (1.222e+04)     0.0004447 (1.222e+04)    
MrHyDE::ParameterManager - constructor                                       5.883e-05 (1)         7.107e-05 (1)         9.523e-05 (1)         7.107e-05 (1)            
MrHyDE::ParameterManager::constructor()                                      6.048e-05 (1)         7.282e-05 (1)         9.752e-05 (1)         7.282e-05 (1)            
MrHyDE::ParameterManager::getCurrentParams()                                 2.943 (4102)          3.179 (4102)          3.417 (4102)          0.0007749 (4102)         
MrHyDE::ParameterManager::updateParams()                                     9.471 (4001)          9.628 (4001)          9.927 (4001)          0.002406 (4001)          
MrHyDE::PhysicsInterface - constructor                                       0.0007724 (1)         0.00088 (1)           0.001284 (1)          0.00088 (1)              
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
MrHyDE::Postprocess::computeDiscreteSensitivities()                          104.4 (8.202e+05)     110.4 (8.202e+05)     112.1 (8.202e+05)     0.0001346 (8.202e+05)    
MrHyDE::Postprocess::computeError                                            0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::Postprocess::computeObjective()                                      201.5 (8.042e+05)     222 (8.042e+05)       231.4 (8.042e+05)     0.000276 (8.042e+05)     
MrHyDE::Postprocess::computeObjectiveGradParam()                             1101 (6.562e+06)      1112 (6.562e+06)      1113 (6.562e+06)      0.0001694 (6.562e+06)    
MrHyDE::Postprocess::computeObjectiveGradState()                             860.9 (6.562e+06)     889.9 (6.562e+06)     897.2 (6.562e+06)     0.0001356 (6.562e+06)    
MrHyDE::Postprocess::computeSensitivities()                                  1254 (8.202e+05)      1269 (8.202e+05)      1271 (8.202e+05)      0.001547 (8.202e+05)     
MrHyDE::Postprocess::computeSensorSolution()                                 0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::Postprocess::computeWeightedNorm()                                   0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::Postprocess::report()                                                0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::Postprocess::writeSolution                                           0 (0)                 0 (0)                 0 (0)                 0 (0)                    
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
MrHyDE::Postprocess::writeSolution - solution to ip                          0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::PostprocessManager - constructor                                     0.0007211 (1)         0.0008627 (1)         0.001243 (1)          0.0008627 (1)            
MrHyDE::SolutionStorage::extract                                             1.116 (1.64e+06)      1.219 (1.64e+06)      1.341 (1.64e+06)      7.432e-07 (1.64e+06)     
MrHyDE::SolutionStorage::store                                               6.416 (8.042e+05)     6.821 (8.042e+05)     7.227 (8.042e+05)     8.481e-06 (8.042e+05)    
MrHyDE::SolutionStorage::trainDNN                                            0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::SolutionStorage::useDNN                                              0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::SolverManager - constructor                                          0.001332 (1)          0.001484 (1)          0.00199 (1)           0.001484 (1)             
MrHyDE::SolverManager::PCG - apply Op                                        0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::SolverManager::PCG - apply prec                                      0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::SolverManager::adjoint()                                             4427 (4101)           4427 (4101)           4427 (4101)           1.08 (4101)              
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
MrHyDE::SolverManager::explicitSolver()                                      0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::SolverManager::forward()                                             2771 (4001)           2771 (4001)           2771 (4001)           0.6926 (4001)            
MrHyDE::SolverManager::nonlinearSolver()                                     5549 (1.62e+06)       5615 (1.62e+06)       5641 (1.62e+06)       0.003465 (1.62e+06)      
MrHyDE::SolverManager::nonlinearSolver() - norm LA                           68.51 (2.441e+06)     128.4 (2.441e+06)     148 (2.441e+06)       5.261e-05 (2.441e+06)    
MrHyDE::SolverManager::nonlinearSolver() - update LA                         95.19 (1.62e+06)      108.4 (1.62e+06)      118.6 (1.62e+06)      6.688e-05 (1.62e+06)     
MrHyDE::SolverManager::projectDirichlet()                                    0.004437 (1)          0.004466 (1)          0.004498 (1)          0.004466 (1)             
MrHyDE::SolverManager::setDirichlet()                                        8.982 (8.042e+05)     9.605 (8.042e+05)     10.26 (8.042e+05)     1.194e-05 (8.042e+05)    
MrHyDE::SolverManager::setInitial()                                          0.4266 (8102)         0.4858 (8102)         0.5445 (8102)         5.996e-05 (8102)         
