mode                   path          |hsym|    |secant|/ref       |hv0|   |bilin|/ref      <v,Hv>_min
-----------------------------------------------------------------------------------------------------
baseline               exact     2.9891e+04      3.8270e-08  0.0000e+00    7.2390e-08      9.4210e+11
baseline               fd        8.7879e+03      1.3460e-05  0.0000e+00    6.8910e-05      9.4210e+11
regs0                  exact     2.9891e+04      3.8270e-08  0.0000e+00    7.2390e-08      9.4210e+11
regs0                  fd        8.7879e+03      1.3460e-05  0.0000e+00    6.8910e-05      9.4210e+11
seed                   exact     1.4053e+04      3.8266e-08  0.0000e+00    1.1561e-07      8.0925e+11
seed                   fd        7.8121e+03      1.3464e-05  0.0000e+00    8.5585e-05      8.0924e+11
seed_regs0             exact     1.4053e+04      3.8266e-08  0.0000e+00    1.1561e-07      8.0925e+11
seed_regs0             fd        7.8121e+03      1.3464e-05  0.0000e+00    8.5585e-05      8.0924e+11
seed_w1                exact     2.2204e-16      0.0000e+00  0.0000e+00    2.9205e-16      6.1086e+01
seed_w1                fd        2.2204e-16      2.8006e-16  0.0000e+00    3.2745e-16      6.1086e+01
seed_w1_regs0          exact     7.6827e-32      3.7342e-08  0.0000e+00    1.2278e-07      8.0925e-24
seed_w1_regs0          fd        1.0560e-31      2.7339e-05  0.0000e+00    7.3662e-05      8.0925e-24
seed_w1_regs1          exact     3.8116e-21      0.0000e+00  0.0000e+00    3.0147e-16      6.1086e-04
seed_w1_regs1          fd        3.8116e-21      2.8422e-16  0.0000e+00    3.1951e-16      6.1086e-04
w1                     exact     1.6653e-16      0.0000e+00  0.0000e+00    3.0180e-16      5.8520e+01
w1                     fd        1.6653e-16      2.8010e-16  0.0000e+00    3.3140e-16      5.8520e+01
w1_regs1               exact     1.2917e-20      0.0000e+00  0.0000e+00    2.9760e-16      5.8520e-04
w1_regs1               fd        1.2917e-20      2.8420e-16  0.0000e+00    3.3080e-16      5.8520e-04
