run                                                         |hsym|    |secant|/ref           |hv0|     |bilin|/ref      <v,Hv>_min
----------------------------------------------------------------------------------------------------------------------------------
baseline                                                2.9891e+04      3.8270e-08      0.0000e+00      7.2390e-08      9.4210e+11
regs0                                                   2.9891e+04      3.8270e-08      0.0000e+00      7.2390e-08      9.4210e+11
seed                                                    1.4053e+04      3.8266e-08      0.0000e+00      1.1561e-07      8.0925e+11
seed_regs0                                              1.4053e+04      3.8266e-08      0.0000e+00      1.1561e-07      8.0925e+11
seed_w1                                                 2.2204e-16      0.0000e+00      0.0000e+00      2.9205e-16      6.1086e+01
seed_w1_regs0                                           7.6827e-32      3.7342e-08      0.0000e+00      1.2278e-07      8.0925e-24
seed_w1_regs1                                           3.8116e-21      0.0000e+00      0.0000e+00      3.0147e-16      6.1086e-04
w1                                                      1.6653e-16      0.0000e+00      0.0000e+00      3.0180e-16      5.8520e+01
w1_regs1                                                1.2917e-20      0.0000e+00      0.0000e+00      2.9760e-16      5.8520e-04
