run                                                         |hsym|    |secant|/ref           |hv0|     |bilin|/ref      <v,Hv>_min
----------------------------------------------------------------------------------------------------------------------------------
baseline                                                8.7879e+03      1.3460e-05      0.0000e+00      6.8910e-05      9.4210e+11
regs0                                                   8.7879e+03      1.3460e-05      0.0000e+00      6.8910e-05      9.4210e+11
seed                                                    7.8121e+03      1.3464e-05      0.0000e+00      8.5585e-05      8.0924e+11
seed_regs0                                              7.8121e+03      1.3464e-05      0.0000e+00      8.5585e-05      8.0924e+11
seed_w1                                                 2.2204e-16      2.8006e-16      0.0000e+00      3.2745e-16      6.1086e+01
seed_w1_regs0                                           1.0560e-31      2.7339e-05      0.0000e+00      7.3662e-05      8.0925e-24
seed_w1_regs1                                           3.8116e-21      2.8422e-16      0.0000e+00      3.1951e-16      6.1086e-04
w1                                                      1.6653e-16      2.8010e-16      0.0000e+00      3.3140e-16      5.8520e+01
w1_regs1                                                1.2917e-20      2.8420e-16      0.0000e+00      3.3080e-16      5.8520e-04
