************ Total setup time: 0.186114

*********************************************************
***** Computing Objective Function ******

********** Value of Objective Function = 2.067719631905545
*********************************************************

*********************************************************
***** Computing Objective Function ******

********** Value of Objective Function = 2.067719631856306
*********************************************************
sens w.r.t. discretized param 0 is -0.002265258474629598
sens w.r.t. discretized param 1 is 0
sens w.r.t. discretized param 2 is -0.003894777878860425
sens w.r.t. discretized param 3 is 0
sens w.r.t. discretized param 4 is -0.003545436133170155
sens w.r.t. discretized param 5 is 0
sens w.r.t. discretized param 6 is -0.003443219181353424
sens w.r.t. discretized param 7 is 0
sens w.r.t. discretized param 8 is -0.003402298755697758
sens w.r.t. discretized param 9 is 0
sens w.r.t. discretized param 10 is -0.00339109957037256
sens w.r.t. discretized param 11 is 0
sens w.r.t. discretized param 12 is -0.003402298749259897
sens w.r.t. discretized param 13 is 0
sens w.r.t. discretized param 14 is -0.003443219143386786
sens w.r.t. discretized param 15 is 0
sens w.r.t. discretized param 16 is -0.003545436088081542
sens w.r.t. discretized param 17 is 0
sens w.r.t. discretized param 18 is -0.003894777845203053
sens w.r.t. discretized param 19 is 0
sens w.r.t. discretized param 20 is -0.002265258444405744
sens w.r.t. discretized param 21 is 0
sens w.r.t. discretized param 22 is -0.004109374925814796
sens w.r.t. discretized param 23 is 0
sens w.r.t. discretized param 24 is -0.007680890585056082
sens w.r.t. discretized param 25 is 0
sens w.r.t. discretized param 26 is -0.007207520476560845
sens w.r.t. discretized param 27 is 0
sens w.r.t. discretized param 28 is -0.006998510857660799
sens w.r.t. discretized param 29 is 0
sens w.r.t. discretized param 30 is -0.006910092511078386
sens w.r.t. discretized param 31 is 0
sens w.r.t. discretized param 32 is -0.006884741602285836
sens w.r.t. discretized param 33 is 0
sens w.r.t. discretized param 34 is -0.006910092499326857
sens w.r.t. discretized param 35 is 0
sens w.r.t. discretized param 36 is -0.006998510778254096
sens w.r.t. discretized param 37 is 0
sens w.r.t. discretized param 38 is -0.007207520382581043
sens w.r.t. discretized param 39 is 0
sens w.r.t. discretized param 40 is -0.007680890528938483
sens w.r.t. discretized param 41 is 0
sens w.r.t. discretized param 42 is -0.004109374883084237
sens w.r.t. discretized param 43 is 0
sens w.r.t. discretized param 44 is -0.003537174783015639
sens w.r.t. discretized param 45 is 0
sens w.r.t. discretized param 46 is -0.007317339388862313
sens w.r.t. discretized param 47 is 0
sens w.r.t. discretized param 48 is -0.007250238220103581
sens w.r.t. discretized param 49 is 0
sens w.r.t. discretized param 50 is -0.007101705030886359
