------------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          delta          #fval     #grad     tr_flag   iterCG    flagCG    
  100   7.819250e-19   6.591030e-17   2.084402e-04   1.000000e+03   101       101       0         20        1         
Optimization Terminated with Status: Iteration Limit Exceeded
========================================================================================================================================================================

                                                                 TimeMonitor results over 22 processors

Timer Name                                                                   MinOverProcs          MeanOverProcs         MaxOverProcs          MeanOverCallCounts       
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Belos: BiCGStabSolMgr total solve time                                       2109 (8.404e+05)      2124 (8.404e+05)      2130 (8.404e+05)      0.002528 (8.404e+05)     
Belos: Operation Op*x                                                        545.1 (1.617e+07)     569.7 (1.617e+07)     686.8 (1.617e+07)     3.523e-05 (1.617e+07)    
Belos: Operation Prec*x                                                      651.9 (1.533e+07)     795.4 (1.533e+07)     840.1 (1.533e+07)     5.188e-05 (1.533e+07)    
Ifpack2::Relaxation::apply                                                   630 (1.533e+07)       770.9 (1.533e+07)     815.7 (1.533e+07)     5.028e-05 (1.533e+07)    
Ifpack2::Relaxation::compute                                                 0.1686 (4202)         0.1924 (4202)         0.2043 (4202)         4.578e-05 (4202)         
Ifpack2::Relaxation::initialize                                              0.01147 (4202)        0.01246 (4202)        0.0135 (4202)         2.966e-06 (4202)         
MrHyDE::AnalysisManager - constructor                                        5.096e-06 (1)         6.16e-06 (1)          7.896e-06 (1)         6.16e-06 (1)             
MrHyDE::AnalysisManager::ROL2Solve()                                         4461 (1)              4461 (1)              4461 (1)              4461 (1)                 
MrHyDE::AnalysisManager::ROLSolve()                                          0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::AssemblyManager - constructor                                        0.03678 (1)           0.03704 (1)           0.03769 (1)           0.03704 (1)              
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
MrHyDE::AssemblyManager::computeJac() - Jacobian assembly                    0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::AssemblyManager::computeJacRes() - boundary evaluation               0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::AssemblyManager::computeJacRes() - fill complete                     0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::AssemblyManager::computeJacRes() - multiscale projection             0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::AssemblyManager::computeJacRes() - physics evaluation                206.9 (4.168e+06)     226.3 (4.161e+06)     239.5 (4.16e+06)      5.439e-05 (4.161e+06)    
MrHyDE::AssemblyManager::computeJacRes() - total assembly                    33.59 (7.564e+04)     37.08 (7.564e+04)     38.09 (7.564e+04)     0.0004903 (7.564e+04)    
MrHyDE::AssemblyManager::computeRes() - residual assembly                    333.3 (3.782e+06)     363.4 (3.782e+06)     385.1 (3.782e+06)     9.609e-05 (3.782e+06)    
MrHyDE::AssemblyManager::createGroups()                                      0.004316 (1)          0.005215 (1)          0.008697 (1)          0.005215 (1)             
MrHyDE::AssemblyManager::createWorkset()                                     0.0001676 (1)         0.0002059 (1)         0.0003164 (1)         0.0002059 (1)            
MrHyDE::AssemblyManager::dataBase - assignment                               0 (0)                 0 (0)                 0 (0)                 0 (0)                    
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
MrHyDE::AssemblyManager::dataBase - basis                                    0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::AssemblyManager::dofConstraints()                                    0.1556 (7.564e+04)    0.1881 (7.564e+04)    0.3261 (7.564e+04)    2.487e-06 (7.564e+04)    
MrHyDE::AssemblyManager::gather()                                            15.47 (3.857e+06)     16.68 (3.857e+06)     18.05 (3.857e+06)     4.325e-06 (3.857e+06)    
MrHyDE::AssemblyManager::scatter()                                           23.23 (1.972e+07)     25.13 (1.933e+07)     25.98 (1.929e+07)     1.3e-06 (1.933e+07)      
MrHyDE::AssemblyManager::setDirichlet()                                      0.0007226 (1)         0.009858 (1)          0.01234 (1)           0.009858 (1)             
MrHyDE::AssemblyManager::setInitial()                                        0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::DiscretizationInterface - constructor                                0.02965 (1)           0.02985 (1)           0.03002 (1)           0.02985 (1)              
MrHyDE::DiscretizationInterface::buildDOFManagers()                          0.02783 (1)           0.02837 (1)           0.02856 (1)           0.02837 (1)              
MrHyDE::DiscretizationInterface::copyDataFromDatabase() - allocate memory    0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::DiscretizationInterface::copyDataFromDatabase() - apply orient       0 (0)                 0 (0)                 0 (0)                 0 (0)                    
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
MrHyDE::DiscretizationInterface::copyDataFromDatabase() - copy               0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::DiscretizationInterface::copyDataFromDatabase() - total              0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::DiscretizationInterface::evaluateBasisNewQuadrature()                0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::DiscretizationInterface::getMyNodes()                                0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::DiscretizationInterface::getPhysicalBoundaryData - basis             0.0009952 (36)        0.001192 (36.09)      0.002016 (36)         3.304e-05 (36.09)        
MrHyDE::DiscretizationInterface::getPhysicalBoundaryData - hsize             0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::DiscretizationInterface::getPhysicalBoundaryData - ip                0.0003895 (36)        0.0004888 (36.09)     0.0007915 (36)        1.354e-05 (36.09)        
MrHyDE::DiscretizationInterface::getPhysicalBoundaryData - other Jac         0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::DiscretizationInterface::getPhysicalBoundaryData - set Jac           0.0002925 (36)        0.0003566 (36.09)     0.0006088 (36)        9.879e-06 (36.09)        
MrHyDE::DiscretizationInterface::getPhysicalBoundaryData - total             0.002784 (72)         0.003323 (72.18)      0.005552 (72)         4.604e-05 (72.18)        
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
MrHyDE::DiscretizationInterface::getPhysicalBoundaryData - wts               0.0004412 (36)        0.0005539 (36.09)     0.0009119 (36)        1.535e-05 (36.09)        
MrHyDE::DiscretizationInterface::getPhysicalFaceData - basis                 0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::DiscretizationInterface::getPhysicalFaceData - hsize                 0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::DiscretizationInterface::getPhysicalFaceData - ip                    0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::DiscretizationInterface::getPhysicalFaceData - other Jac             0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::DiscretizationInterface::getPhysicalFaceData - set Jac               0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::DiscretizationInterface::getPhysicalFaceData - total                 0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::DiscretizationInterface::getPhysicalFaceData - wts                   0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::DiscretizationInterface::getPhysicalIntegrationData()                0.0004391 (18)        0.0005138 (18)        0.0008289 (18)        2.854e-05 (18)           
MrHyDE::DiscretizationInterface::getPhysicalOrientations                     3.543e-05 (45)        4.475e-05 (45.09)     8.241e-05 (45)        9.924e-07 (45.09)        
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
MrHyDE::DiscretizationInterface::getPhysicalVolumetricData - HCURL-CURL      0.000409 (9)          0.0005301 (9)         0.0008769 (9)         5.89e-05 (9)             
MrHyDE::DiscretizationInterface::getPhysicalVolumetricData - HCURL-VALUE     0.001195 (9)          0.001455 (9)          0.002359 (9)          0.0001617 (9)            
MrHyDE::DiscretizationInterface::getPhysicalVolumetricData - HDIV-DIV        0.0001238 (9)         0.0001442 (9)         0.0002352 (9)         1.603e-05 (9)            
MrHyDE::DiscretizationInterface::getPhysicalVolumetricData - HDIV-VALUE      0.00084 (9)           0.001045 (9)          0.001743 (9)          0.0001161 (9)            
MrHyDE::DiscretizationInterface::getPhysicalVolumetricData - basis           0.002702 (9)          0.003248 (9)          0.005337 (9)          0.0003608 (9)            
MrHyDE::DiscretizationInterface::getPhysicalVolumetricData - hsize           0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::DiscretizationInterface::getPhysicalVolumetricData - ip              0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::DiscretizationInterface::getPhysicalVolumetricData - other Jac       5.922e-05 (9)         6.848e-05 (9)         0.0001008 (9)         7.609e-06 (9)            
MrHyDE::DiscretizationInterface::getPhysicalVolumetricData - set Jac         0.0001088 (9)         0.0001275 (9)         0.0002102 (9)         1.416e-05 (9)            
MrHyDE::DiscretizationInterface::getPhysicalVolumetricData - total           0.002919 (9)          0.003489 (9)          0.005721 (9)          0.0003877 (9)            
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
MrHyDE::DiscretizationInterface::getPhysicalVolumetricData - wts             0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::DiscretizationInterface::setBCData()                                 0.002209 (1)          0.002543 (1)          0.002652 (1)          0.002543 (1)             
MrHyDE::DiscretizationInterface::setDirichletData()                          0.0005918 (1)         0.0007213 (1)         0.001241 (1)          0.0007213 (1)            
MrHyDE::LinearAlgebraInterface - constructor                                 0.008528 (1)          0.01343 (1)           0.01459 (1)           0.01343 (1)              
MrHyDE::LinearAlgebraInterface::PCG - total                                  0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::LinearAlgebraInterface::buildPreconditioner()                        0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::LinearAlgebraInterface::export*()                                    175.7 (5.051e+06)     211.7 (5.051e+06)     287.5 (5.051e+06)     4.191e-05 (5.051e+06)    
MrHyDE::LinearAlgebraInterface::fillComplete*()                              15.58 (2.311e+04)     17.43 (2.311e+04)     20.4 (2.311e+04)      0.0007541 (2.311e+04)    
MrHyDE::LinearAlgebraInterface::getNew*Matrix()                              1.344 (1.689e+06)     1.472 (1.689e+06)     1.646 (1.689e+06)     8.715e-07 (1.689e+06)    
MrHyDE::LinearAlgebraInterface::getNewOverlappedVector()                     20.68 (5.904e+06)     22.66 (5.904e+06)     24.9 (5.904e+06)      3.838e-06 (5.904e+06)    
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
MrHyDE::LinearAlgebraInterface::getNewVector()                               27.68 (8.404e+06)     31.89 (8.404e+06)     34.17 (8.404e+06)     3.795e-06 (8.404e+06)    
MrHyDE::LinearAlgebraInterface::import*()                                    27.59 (8.404e+05)     36.19 (8.404e+05)     51.8 (8.404e+05)      4.306e-05 (8.404e+05)    
MrHyDE::LinearAlgebraInterface::linearSolver*()                              2262 (8.404e+05)      2266 (8.404e+05)      2268 (8.404e+05)      0.002697 (8.404e+05)     
MrHyDE::LinearAlgebraInterface::read()                                       0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::LinearAlgebraInterface::setup                                        0.008242 (1)          0.01322 (1)           0.01441 (1)           0.01322 (1)              
MrHyDE::LinearAlgebraInterface::write()                                      0.5978 (8.404e+05)    0.6636 (8.404e+05)    0.726 (8.404e+05)     7.896e-07 (8.404e+05)    
MrHyDE::MultiscaleManager - constructor                                      0.0003145 (1)         0.001082 (1)          0.001428 (1)          0.001082 (1)             
MrHyDE::MultiscaleManager::initialize()                                      0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::MultiscaleManager::reset()                                           0.311 (8.404e+05)     0.3726 (8.404e+05)    0.4239 (8.404e+05)    4.433e-07 (8.404e+05)    
MrHyDE::MultiscaleManager::update()                                          0.2383 (4.202e+05)    0.2662 (4.202e+05)    0.335 (4.202e+05)     6.334e-07 (4.202e+05)    
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
MrHyDE::Objective::gradient()                                                131.1 (101)           131.1 (101)           131.1 (101)           1.298 (101)              
MrHyDE::Objective::hessVec()                                                 4231 (2000)           4231 (2000)           4231 (2000)           2.116 (2000)             
MrHyDE::Objective::value()                                                   83.8 (101)            83.82 (101)           83.83 (101)           0.8299 (101)             
MrHyDE::OptVector::clone()                                                   2.429 (2114)          2.737 (2114)          2.986 (2114)          0.001295 (2114)          
MrHyDE::OptVector::constructor()                                             2.802 (6319)          3.133 (6319)          3.31 (6319)           0.0004958 (6319)         
MrHyDE::ParameterManager - constructor                                       6.941e-05 (1)         9.083e-05 (1)         0.0001141 (1)         9.083e-05 (1)            
MrHyDE::ParameterManager::constructor()                                      7.658e-05 (1)         9.314e-05 (1)         0.0001164 (1)         9.314e-05 (1)            
MrHyDE::ParameterManager::getCurrentParams()                                 1.714 (2102)          1.878 (2102)          1.931 (2102)          0.0008934 (2102)         
MrHyDE::ParameterManager::updateParams()                                     11.94 (4101)          12.17 (4101)          12.46 (4101)          0.002967 (4101)          
MrHyDE::PhysicsInterface - constructor                                       0.0008101 (1)         0.0009694 (1)         0.001473 (1)          0.0009694 (1)            
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
MrHyDE::Postprocess::computeDiscreteSensitivities()                          64.1 (4.202e+05)      67.59 (4.202e+05)     69.24 (4.202e+05)     0.0001608 (4.202e+05)    
MrHyDE::Postprocess::computeError                                            0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::Postprocess::computeObjective()                                      6.472 (2.03e+04)      7.116 (2.03e+04)      7.512 (2.03e+04)      0.0003505 (2.03e+04)     
MrHyDE::Postprocess::computeObjectiveGradParam()                             698.9 (3.362e+06)     705.3 (3.362e+06)     706.1 (3.362e+06)     0.0002098 (3.362e+06)    
MrHyDE::Postprocess::computeObjectiveGradState()                             544.1 (3.362e+06)     562.2 (3.362e+06)     567 (3.362e+06)       0.0001673 (3.362e+06)    
MrHyDE::Postprocess::computeSensitivities()                                  793.3 (4.202e+05)     802.5 (4.202e+05)     804.5 (4.202e+05)     0.00191 (4.202e+05)      
MrHyDE::Postprocess::computeSensorSolution()                                 0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::Postprocess::computeWeightedNorm()                                   0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::Postprocess::report()                                                0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::Postprocess::writeSolution                                           0 (0)                 0 (0)                 0 (0)                 0 (0)                    
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
MrHyDE::Postprocess::writeSolution - solution to ip                          0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::PostprocessManager - constructor                                     0.0007368 (1)         0.0009494 (1)         0.001444 (1)          0.0009494 (1)            
MrHyDE::SolutionStorage::extract                                             0.6524 (8.404e+05)    0.7497 (8.404e+05)    0.867 (8.404e+05)     8.921e-07 (8.404e+05)    
MrHyDE::SolutionStorage::store                                               4.578 (4.223e+05)     5.56 (4.223e+05)      6.009 (4.223e+05)     1.317e-05 (4.223e+05)    
MrHyDE::SolutionStorage::trainDNN                                            0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::SolutionStorage::useDNN                                              0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::SolverManager - constructor                                          0.001341 (1)          0.00157 (1)           0.002276 (1)          0.00157 (1)              
MrHyDE::SolverManager::PCG - apply Op                                        0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::SolverManager::PCG - apply prec                                      0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::SolverManager::adjoint()                                             2769 (2101)           2769 (2101)           2769 (2101)           1.318 (2101)             
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
MrHyDE::SolverManager::explicitSolver()                                      0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::SolverManager::forward()                                             1655 (2101)           1655 (2101)           1655 (2101)           0.7876 (2101)            
MrHyDE::SolverManager::nonlinearSolver()                                     3537 (8.404e+05)      3565 (8.404e+05)      3571 (8.404e+05)      0.004242 (8.404e+05)     
MrHyDE::SolverManager::nonlinearSolver() - norm LA                           56.12 (1.261e+06)     79.67 (1.261e+06)     95.48 (1.261e+06)     6.32e-05 (1.261e+06)     
MrHyDE::SolverManager::nonlinearSolver() - update LA                         57.9 (8.404e+05)      65.73 (8.404e+05)     70.16 (8.404e+05)     7.822e-05 (8.404e+05)    
MrHyDE::SolverManager::projectDirichlet()                                    0.006162 (1)          0.01522 (1)           0.01773 (1)           0.01522 (1)              
MrHyDE::SolverManager::setDirichlet()                                        6.009 (4.223e+05)     6.304 (4.223e+05)     6.665 (4.223e+05)     1.493e-05 (4.223e+05)    
MrHyDE::SolverManager::setInitial()                                          0.2914 (4202)         0.3444 (4202)         0.3784 (4202)         8.196e-05 (4202)         
MrHyDE::SolverManager::setupFixedDOFs()                                      1.238e-05 (1)         1.374e-05 (1)         1.738e-05 (1)         1.374e-05 (1)            
MrHyDE::SolverManager::transientSolver()                                     4415 (4202)           4415 (4202)           4415 (4202)           1.051 (4202)             
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
MrHyDE::SolverManager::transientSolver() - adjoint RHS                       620.9 (4.202e+05)     632 (4.202e+05)       633.1 (4.202e+05)     0.001504 (4.202e+05)     
MrHyDE::UserInterface - constructor                                          0.009477 (1)          0.01187 (1)           0.01803 (1)           0.01187 (1)              
MrHyDE::driver::total run time                                               4461 (1)              4461 (1)              4461 (1)              4461 (1)                 
MrHyDE::driver::total setup and execution time                               4461 (1)              4461 (1)              4461 (1)              4461 (1)                 
MrHyDE::groupMetaData::constructor()                                         5.486e-05 (9)         6.786e-05 (9)         0.0001136 (9)         7.54e-06 (9)             
MrHyDE::maxwell::boundaryResidual() - evaluation of residual                 0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::maxwell::boundaryResidual() - function evaluation                    0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::maxwell::computeFlux() - evaluation of flux                          0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::maxwell::computeFlux() - function evaluation                         0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::maxwell::volumeResidual() - evaluation of residual                   173.3 (3.857e+06)     189.6 (3.857e+06)     200.2 (3.857e+06)     4.914e-05 (3.857e+06)    
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
MrHyDE::maxwell::volumeResidual() - function evaluation                      38.38 (3.857e+06)     42.19 (3.857e+06)     44.32 (3.857e+06)     1.094e-05 (3.857e+06)    
MrHyDE::meshInterface - constructor                                          0.0005182 (1)         0.000677 (1)          0.0008767 (1)         0.000677 (1)             
MrHyDE::workset::computeSolnSideIP                                           0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::workset::computeSolnVolIP - allocate/compute seeded                  112.4 (5.673e+07)     123 (5.595e+07)       130.6 (5.587e+07)     2.198e-06 (5.595e+07)    
MrHyDE::workset::getData                                                     96.41 (5.786e+07)     105.5 (5.786e+07)     111.6 (5.786e+07)     1.823e-06 (5.786e+07)    
MrHyDE::workset::getDataSc                                                   0 (0)                 0 (0)                 0 (0)                 0 (0)                    
MrHyDE::workset::reset*                                                      61.18 (4.453e+07)     66.93 (4.375e+07)     70.71 (4.367e+07)     1.53e-06 (4.375e+07)     
panzer::CubeHexMeshFactory::buildUncomittedMesh()                            0.0002916 (1)         0.0003934 (1)         0.0004889 (1)         0.0003934 (1)            
panzer::CubeHexMeshFactory::completeMeshConstruction()                       0.04958 (1)           0.05634 (1)           0.05879 (1)           0.05634 (1)              
panzer::DOFManager::buildGlobalUnknowns                                      0.004267 (2)          0.004367 (2)          0.004597 (2)          0.002184 (2)             
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
panzer::DOFManager::buildGlobalUnknowns::build_ghosted_array                 0.0001093 (2)         0.0001436 (2)         0.000198 (2)          7.181e-05 (2)            
panzer::DOFManager::buildGlobalUnknowns::build_local_ids                     0.0001423 (2)         0.0001727 (2)         0.0002609 (2)         8.636e-05 (2)            
panzer::DOFManager::buildGlobalUnknowns::build_orientation                   7.727e-05 (1)         9.896e-05 (1)         0.0001556 (1)         9.896e-05 (1)            
panzer::DOFManager::buildGlobalUnknowns::build_owned_vector                  0.0001781 (2)         0.0002644 (2)         0.0003756 (2)         0.0001322 (2)            
panzer::DOFManager::buildGlobalUnknowns_GUN                                  0.00228 (2)           0.002347 (2)          0.002428 (2)          0.001174 (2)             
panzer::DOFManager::buildGlobalUnknowns_GUN::line_04 createOneToOne          0.001066 (2)          0.001155 (2)          0.00118 (2)           0.0005776 (2)            
