------------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          delta          #fval     #grad     tr_flag   iterCG    flagCG    
  100   7.819250e-19   6.591030e-17   2.084402e-04   1.000000e+03   101       101       0         20        1         
Optimization Terminated with Status: Iteration Limit Exceeded
========================================================================================================================================================================

                                                                 TimeMonitor results over 22 processors

Timer Name                                                                   MinOverProcs          MeanOverProcs         MaxOverProcs          MeanOverCallCounts       
panzer::DOFManager::buildGlobalUnknowns_GUN::line_05 alloc_unique_mv         7.71e-06 (2)          9.956e-06 (2)         1.464e-05 (2)         4.978e-06 (2)            
panzer::DOFManager::buildGlobalUnknowns_GUN::line_06 export                  0.0008384 (2)         0.0008583 (2)         0.0008858 (2)         0.0004291 (2)            
panzer::DOFManager::buildGlobalUnknowns_GUN::line_07-09 local_count          3.402e-05 (2)         4.826e-05 (2)         5.718e-05 (2)         2.413e-05 (2)            
panzer::DOFManager::buildGlobalUnknowns_GUN::line_10 prefix_sum              5.492e-05 (2)         0.0001498 (2)         0.0002258 (2)         7.491e-05 (2)            
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
panzer::DOFManager::buildGlobalUnknowns_GUN::line_13-21 gid_assignment       6.682e-06 (2)         1.013e-05 (2)         2.132e-05 (2)         5.063e-06 (2)            
panzer::DOFManager::buildGlobalUnknowns_GUN::line_23 final_import            5.293e-05 (2)         7.544e-05 (2)         0.0001207 (2)         3.772e-05 (2)            
panzer::DOFManager::buildTaggedMultiVector                                   0.0008194 (2)         0.001067 (2)          0.001152 (2)          0.0005337 (2)            
panzer::DOFManager::buildTaggedMultiVector::allocate_tagged_multivector      4.001e-05 (2)         4.67e-05 (2)          6.405e-05 (2)         2.335e-05 (2)            
panzer::DOFManager::buildTaggedMultiVector::fill_tagged_multivector          6.243e-05 (2)         7.865e-05 (2)         0.000119 (2)          3.932e-05 (2)            
panzer::DOFManager::builderOverlapMapFromElements                            0.0004891 (2)         0.0008504 (2)         0.0009684 (2)         0.0004252 (2)            
panzer_stk::STKConnManager::applyPeriodicBCs                                 0.02763 (3)           0.03259 (3)           0.03413 (3)           0.01086 (3)              
panzer_stk::STKConnManager::buildConnectivity                                0.02821 (3)           0.03295 (3)           0.03445 (3)           0.01098 (3)              
========================================================================================================================================================================
WC runtime: 4461s
