-0.0393023987545 4.71759497089 0.0176475010977  0
-0.0393984828097 4.69607898225 0.0169927144975  0
-0.0286475277554 7.42486052965 0.658907196126  0
0.0141112605181 12.5841116631 14.7404186069  0
-0.00475343839912 14.4814055543 35.6324154429  0
0.0131900943537 12.8683012209 16.7155380247  0
-0.00896545347178 13.6656127072 26.6912253552  1
0.00148642157555 14.8702667664 39.4559321476  1
-0.0033379059226 14.6597436442 37.7325672013  1
0.0472333121252 3.63325612456 0.000570671272618  0
0.00856889981569 14.0507868316 27.6355070307  1
-0.0172964325013 11.141422522 8.93877688816  0
-0.0080974450029 13.8662318203 28.7428366129  0
0.0187827418832 10.9774086059 6.83649169199  0
-0.0622470765054 1.29572980044 1.53854111021e-07  0
-0.0139634670208 12.2497639133 15.0494221721  0
0.0124726578916 13.0797272974 18.3273719694  0
0.0091992419516 13.9164724516 26.1304523359  1
-0.0548659969077 2.00559907609 1.15924511965e-05  0
-0.00788736890249 13.9123971806 29.2295069712  0
0.00353418474857 14.7692590348 37.4789463106  1
0.0266744505936 8.11733837877 1.13723523058  0
0.0297365887555 7.12663790651 0.479461393829  0
-0.0130765463858 12.5278920126 16.9666783905  0
0.0128423900867 12.9719013974 17.4894306759  0
-0.00302132664288 14.6925767277 38.1143015082  1
-0.0106521146048 13.233320733 22.6213448968  0
0.0337592186267 6.00804246059 0.133695218468  0
0.000600856740537 14.8786826313 39.8222781687  1
0.0551715041804 2.66675101613 9.79887754692e-06  0
0.0251827652296 8.63548215293 1.67426343746  1
0.00581136118043 14.5249714705 33.6957615337  1
-0.0269920581459 7.91643771151 1.04433011129  0
0.0113691527168 13.3863786814 20.9040618148  1
0.0566699747108 2.48583469159 4.23893493095e-06  0
-0.0125933739252 12.6753221321 18.0521775732  1
-0.00895406550793 13.6683451652 26.7184732231  1
-0.0610628413005 1.39250871516 3.19304295112e-07  0
0.00375197851197 14.7518535274 37.1827498125  1
0.00315980380125 14.7961984317 37.9515312614  1
0.0268700010007 8.05094990021 1.07922898553  0
-0.00056629851651 14.8572327549 39.8303100993  1
0.000341570474838 14.8771110033 39.8709624512  1
0.0052205798436 14.6014806897 34.8119035131  1
-0.0350362082591 5.72013162572 0.0861687416383  0
0.0127683490904 12.9936897921 17.6560404562  0
0.0129118289987 12.951379523 17.3337421  1
-0.0376380196619 5.09765917415 0.0334778595512  0
0.0128422458218 12.9719439451 17.4897547047  0
-0.0372962975495 5.17741335862 0.0380506389769  0
-0.0318987054606 6.52212888529 0.246250640594  0
0.0223023724545 9.67960562827 3.31763628591  0
-0.0262060324982 8.15762268683 1.28717636671  0
-0.131502850221 0.314407335271 1.12108494653e-36  0
-0.026709717602 8.00249840241 1.12658009699  0
-0.0364579334491 5.37559778841 0.0518358696992  0
-0.0068946283243 14.1174116367 31.4548175965  1
0.0150976915938 12.2654767585 12.7627426428  0
-0.0104007836309 13.3010690102 23.2278073149  1
0.0607040383428 1.9994384125 3.97262048267e-07  0
0.0324121932962 6.35797493891 0.208770499564  0
0.00894178947839 13.9724476566 26.747838261  0
0.0339731758216 5.95475922807 0.124350420861  0
0.00207424733495 14.8529038024 39.0451685044  1
0.0226667322898 9.54542871391 3.05667550562  1
0.0204433606284 10.3671690019 4.93610561807  0
0.00181880812791 14.861602704 39.2397921484  1
0.0173001870965 11.5104052411 8.93297320279  0
-0.00805811957342 13.8749460282 28.8342869313  1
-0.0143422579944 12.1283150235 14.2638709161  1
0.0382846354119 5.00937383658 0.0261911191262  0
-0.00473964647647 14.483388065 35.6557494651  1
0.0118038125489 13.2683867429 19.8773660368  1
-0.0133085796568 12.4560292546 16.4551778462  1
0.0434665923187 4.14371783136 0.00314956293613  0
-0.00867341522981 13.7348530606 27.3876174685  1
0.00629192235899 14.4560715723 32.7299387757  1
0.044716361018 3.96650226371 0.00181524821926  0
0.0941290366165 0.334636821404 2.29649869131e-18  0
-0.0159169574982 11.6094822149 11.2400576425  0
0.00245786932872 14.8365116781 38.7072160772  1
-0.00363796487094 14.6262229452 37.3397226641  0
-0.0228978103548 9.22394447551 2.89991973077  0
-0.0113781273961 13.0315612124 20.8827349279  1
-0.0317946908325 6.54980480489 0.254544355607  0
0.00979349636536 13.7814994295 24.6966794035  0
-0.0150059386219 11.9121581048 12.9402250815  0
0.0551263211024 2.67219699196 1.00461132592e-05  0
-0.0141486875294 12.1905635841 14.6626707427  0
-0.0085318704921 13.7677829382 27.7231438478  1
-0.00661884141066 14.1704074428 32.0464478172  1
0.00792169612825 14.1789270392 29.1503029355  1
0.0447450040944 3.96254623768 0.00179213917243  0
-0.0371412917149 5.21378491757 0.0403103871138  0
0.0201039094981 10.492574377 5.28776556007  0
0.00669584751235 14.3935895922 31.8825801311  1
-0.0163203855787 11.4736253283 10.5324053208  0
0.0170565399684 11.5963987218 9.31479386383  0
-0.0164926107051 11.4153401839 10.2389657489  0
0.00808752580783 14.1470523699 28.765918021  1
